6.14,0.576
181,164,254,165,316,165,379,166,441,167,503,167,576,168
165,175,246,175,317,176,386,176,454,176,521,176,599,177
150,186,239,186,317,187,394,187,470,188,545,188,633,189
131,199,229,200,317,201,405,202,491,203,576,204,678,205
101,220,215,221,318,221,419,222,518,223,615,223,729,224
63,247,196,248,319,249,440,250,558,251,673,252,810,253
5,288,168,288,320,289,468,290,612,290,750,291,916,291
-83,350,124,351,321,352,514,353,701,354,879,355,1095,356
-248,466,44,467,325,467,596,468,859,469,1107,469,1409,470
