6.5,1
266,154,314,155,363,157,415,158,467,160
255,166,309,166,363,167,419,168,474,169
247,176,305,177,363,178,423,179,484,180
234,190,299,191,363,191,429,192,495,193
220,206,291,207,363,207,436,207,508,208
203,225,283,227,363,228,445,229,528,230
182,250,272,251,363,253,456,254,550,256
155,281,258,283,363,285,470,287,579,290
119,323,239,326,363,329,489,333,619,336
69,380,213,385,363,390,516,395,675,400
